entity_id,state,last_changed
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.032,2024-04-07T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.21,2024-04-07T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.394,2024-04-07T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.501,2024-04-07T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.518,2024-04-07T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.535,2024-04-07T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.543,2024-04-07T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.552,2024-04-07T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.56,2024-04-07T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.568,2024-04-07T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.576,2024-04-07T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.584,2024-04-07T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.658,2024-04-07T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.676,2024-04-07T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.693,2024-04-07T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.71,2024-04-07T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.727,2024-04-08T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.744,2024-04-08T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.761,2024-04-08T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.778,2024-04-08T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.796,2024-04-08T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.813,2024-04-08T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.83,2024-04-08T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.848,2024-04-08T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.865,2024-04-08T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.883,2024-04-08T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.897,2024-04-08T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.906,2024-04-08T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.915,2024-04-08T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.924,2024-04-08T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.933,2024-04-08T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.942,2024-04-08T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.95,2024-04-08T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.958,2024-04-08T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.966,2024-04-08T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,85.974,2024-04-08T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,86.571,2024-04-08T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,86.764,2024-04-08T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,87.333,2024-04-08T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,87.631,2024-04-08T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,87.882,2024-04-09T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,88.426,2024-04-09T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,88.555,2024-04-09T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,89.167,2024-04-09T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,89.361,2024-04-09T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,89.975,2024-04-09T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.091,2024-04-09T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.339,2024-04-09T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.591,2024-04-09T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.715,2024-04-09T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.77,2024-04-09T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.786,2024-04-09T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.803,2024-04-09T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.82,2024-04-09T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.837,2024-04-09T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,90.853,2024-04-09T15:00:00.000Z
